id_convenio;cd_plano_trabalho;id_situacao_convenio;situacao;numero_proposta;numero_plano;numero_convenio;numero_siafi;codigo_orgao;orgao_sigla;descricao_orgao;municipio;cnpj_proponente;razao_social_proponente;situacao_cagec;data_publicacao;data_inicio;data_termino;valor_concedente;valor_parlamentar;id_status_convenio;status_convenio;valor_despesa_empenhada;valor_despesa_paga;tempo_analise_tecnica_continuo;tempo_analisejuridica_continuo;tempo_a_encaminhador_continuo
4547;753463,0;3;INSTRUMENTO JURÍDICO;001721/2015;000907/2015;1491000935/2015;9042765;1491;SEGOV;SECRETARIA DE ESTADO DE GOVERNO;ITAPAGIPE;21226840000147;PREFEITURA MUNICIPAL DE ITAPAGIPE;REGULAR;2015-08-28 00:00:00;2015-08-28 00:00:00;2016-08-27 00:00:00;100000,0;0,0;16;ENCERRADO;100000,0;100000,0;9 DIA(S), 4 HORA(S), 49 MINUTO(S);0 DIA(S), 18 HORA(S), 30 MINUTO(S);0 DIA(S), 3 HORA(S), 21 MINUTO(S)
5344;747142,0;3;INSTRUMENTO JURÍDICO;000584/2015;000281/2015;1261000286/2015;9037266;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;PAULISTAS;18307447000173;PREFEITURA MUNICIPAL DE PAULISTAS;IRREGULAR;2015-05-08 00:00:00;2015-05-08 00:00:00;2016-04-30 00:00:00;480917,63;0,0;16;ENCERRADO;480917,63;480917,63;1 DIA(S), 23 HORA(S), 33 MINUTO(S);0 DIA(S), 0 HORA(S), 9 MINUTO(S);0 DIA(S), 0 HORA(S), 7 MINUTO(S)
5359;747249,0;3;INSTRUMENTO JURÍDICO;000648/2015;000477/2015;1261000446/2015;9037405;1261;SEE;SECRETARIA DE ESTADO DE EDUCACAO;CARAI;18404848000141;PREFEITURA MUNICIPAL DE CARAI;IRREGULAR;2015-05-12 00:00:00;2015-05-12 00:00:00;2016-04-30 00:00:00;1695941,03;0,0;16;ENCERRADO;1695941,03;1695941,03;1 DIA(S), 6 HORA(S), 58 MINUTO(S);0 DIA(S), 14 HORA(S), 44 MINUTO(S);0 DIA(S), 1 HORA(S), 27 MINUTO(S)
18112;756245,0;3;INSTRUMENTO JURÍDICO;008245/2015;001701/2015;1231001190/2015;9046057;1231;SEAPA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;INDIANOPOLIS;22225015000190;SINDICATO RURAL DE INDIANOPOLIS;IRREGULAR;2015-11-21 00:00:00;2015-11-21 00:00:00;2016-11-20 00:00:00;0,0;49999,93;16;ENCERRADO;49999,93;49999,93;7 DIA(S), 7 HORA(S), 19 MINUTO(S);0 DIA(S), 0 HORA(S), 21 MINUTO(S);0 DIA(S), 1 HORA(S), 56 MINUTO(S)
18206;755971,0;3;INSTRUMENTO JURÍDICO;002186/2015;000959/2015;1491001225/2015;9045783;1491;SEGOV;SECRETARIA DE ESTADO DE GOVERNO;CAETANOPOLIS;23221351000128;PREFEITURA MUNICIPAL DE CAETANÓPOLIS;REGULAR;2015-11-21 00:00:00;2015-11-21 00:00:00;2018-11-20 00:00:00;60000,0;0,0;16;ENCERRADO;60000,0;60000,0;0 DIA(S), 23 HORA(S), 1 MINUTO(S);0 DIA(S), 0 HORA(S), 16 MINUTO(S);0 DIA(S), 0 HORA(S), 30 MINUTO(S)
19101;756295,0;3;INSTRUMENTO JURÍDICO;011766/2015;002359/2015;1481001455/2015;9046093;1481;SEDESE;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;BELO HORIZONTE;7953849000129;CENTRO MINEIRO DE REABILITAÇÃO AUDITIVA;IRREGULAR;2015-11-28 00:00:00;2015-11-28 00:00:00;2016-11-27 00:00:00;0,0;15000,0;16;ENCERRADO;15000,0;15000,0;0 DIA(S), 4 HORA(S), 50 MINUTO(S);2 DIA(S), 20 HORA(S), 23 MINUTO(S);0 DIA(S), 1 HORA(S), 18 MINUTO(S)
19621;758163,0;3;INSTRUMENTO JURÍDICO;007577/2015;001245/2015;1491001647/2015;9046273;1491;SEGOV;SECRETARIA DE ESTADO DE GOVERNO;ICARAI DE MINAS;824655000184;ASSOCIAÇÃO COMUNITÁRIA DOS PRODUTORES E TRABALHADORES RURAIS DE NOVA APAREC;IRREGULAR;2015-12-02 00:00:00;2015-12-02 00:00:00;2017-12-01 00:00:00;0,0;30000,0;16;ENCERRADO;30000,0;30000,0;3 DIA(S), 3 HORA(S), 28 MINUTO(S);0 DIA(S), 2 HORA(S), 21 MINUTO(S);0 DIA(S), 0 HORA(S), 33 MINUTO(S)
20030;758391,0;3;INSTRUMENTO JURÍDICO;003563/2015;001693/2015;1491001836/2015;9046555;1491;SEGOV;SECRETARIA DE ESTADO DE GOVERNO;BOCAIUVA;18803072000132;PREFEITURA MUNICIPAL DE BOCAIÚVA;REGULAR;2015-12-04 00:00:00;2015-12-04 00:00:00;2018-12-03 00:00:00;0,0;50000,0;16;ENCERRADO;50000,0;50000,0;2 DIA(S), 16 HORA(S), 30 MINUTO(S);0 DIA(S), 2 HORA(S), 19 MINUTO(S);0 DIA(S), 1 HORA(S), 23 MINUTO(S)
20058;758694,0;3;INSTRUMENTO JURÍDICO;003385/2015;001123/2015;1491001854/2015;9046888;1491;SEGOV;SECRETARIA DE ESTADO DE GOVERNO;UNAI;18125161000177;PREFEITURA MUNICIPAL DE UNAÍ;IRREGULAR;2015-12-04 00:00:00;2015-12-04 00:00:00;2017-12-03 00:00:00;0,0;130000,0;16;ENCERRADO;130000,0;130000,0;4 DIA(S), 3 HORA(S), 12 MINUTO(S);0 DIA(S), 0 HORA(S), 14 MINUTO(S);0 DIA(S), 0 HORA(S), 24 MINUTO(S)
22107;762515,0;3;INSTRUMENTO JURÍDICO;011349/2015;002052/2015;1491002805/2015;9049477;1491;SEGOV;SECRETARIA DE ESTADO DE GOVERNO;CONTAGEM;7732106000129;INSTITUTO FILHOS DE CONTAGEM;IRREGULAR;2015-12-19 00:00:00;2015-12-19 00:00:00;2017-12-18 00:00:00;0,0;30000,0;16;ENCERRADO;30000,0;30000,0;0 DIA(S), 19 HORA(S), 52 MINUTO(S);0 DIA(S), 0 HORA(S), 18 MINUTO(S);0 DIA(S), 0 HORA(S), 4 MINUTO(S)
