contratoconvenio_saida;numero_empenho;data_registro_doc_empenho;razao_social_credor;cnpj_cpf_credor_formatado;unidade_orcamentaria_sigla;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;valor_despesa_liquidada;valor_pago_processado;valor_pago_nao_processado
9041311;178;2017-11-06 00:00:00;PM ESMERALDAS;18.715.466/0001-39;SEE;1261;SECRETARIA DE ESTADO DE EDUCACAO;41;CONTRIBUICOES;1;CONTRIBUICOES;71;RECURSOS DO FUNDO ESTADUAL DE ERRADICACAO DA MISERIA;0,0;0,0;0,0
9050598;955;2015-12-30 00:00:00;CONSORC.PUBLICO INTER.DE SAUDE DA REDE DE URG.EMERG.TRI.NORT;19.455.924/0001-00;FES;4291;FUNDO ESTADUAL DE SAUDE;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9050598;956;2015-12-30 00:00:00;CONSORC.PUBLICO INTER.DE SAUDE DA REDE DE URG.EMERG.TRI.NORT;19.455.924/0001-00;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9056589;83;2016-06-17 00:00:00;PM GAMELEIRA;01.612.482/0001-01;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9057651;122;2016-06-27 00:00:00;PM SAO JOAO DA PONTE;16.928.483/0001-29;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;41;CONTRIBUICOES;1;CONTRIBUICOES;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9071903;74;2016-06-28 00:00:00;PM INHAUMA;18.116.152/0001-10;SEJUSP;1451;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072128;406;2016-06-30 00:00:00;PM ROCHEDO DE MINAS;18.558.080/0001-60;SEDESE;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072577;569;2016-07-01 00:00:00;CIS MICRORREGIAO DO VALE DO ACO/ IPATINGA;00.853.908/0001-48;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072664;556;2016-07-01 00:00:00;PM PARA DE MINAS;18.313.817/0001-85;FES;4291;FUNDO ESTADUAL DE SAUDE;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
9072832;914;2016-11-09 00:00:00;PM SANTOS DUMONT;17.747.924/0001-59;SEINFRA;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;42;AUXILIOS;1;AUXILIOS;10;RECURSOS ORDINARIOS;0,0;0,0;0,0
