"ID_CONVENIO";"CD_PLANO_TRABALHO";"ID_SITUACAO_CONVENIO";"SITUACAO";"NUMERO_PROPOSTA";"NUMERO_PLANO";"NUMERO_CONVENIO";"NUMERO_SIAFI";"CODIGO_ORGAO";"ORGAO_SIGLA";"MUNICIPIO";"CNPJ_PROPONENTE";"RAZAO_SOCIAL_PROPONENTE";"SITUACAO_CAGEC";"DATA_PUBLICACAO";"DATA_INICIO";"DATA_TERMINO";"VALOR_CONCEDENTE";"VALOR_PARLAMENTAR";"ID_STATUS_CONVENIO";"STATUS_CONVENIO";"VALOR_DESPESA_EMPENHADA";"VALOR_DESPESA_PAGA";"TEMPO_ANALISE_TECNICA_CONTINUO";"TEMPO_ANALISEJURIDICA_CONTINUO";"TEMPO_A_ENCAMINHADOR_CONTINUO"
168265;1102801;3;Instrumento Jurídico;"006604/2026";"005175/2026";"1301004891/2026";"9519642";1301;SEINFRA;UBA;"18128207000101";MUNICIPIO DE UBA;Irregular;TIMESTAMP '2026-08-14 00:00:00.000000';TIMESTAMP '2026-08-14 00:00:00.000000';TIMESTAMP '2028-11-30 00:00:00.000000';2379840.4;0;15;VIGENTE;0;0;"8 DIA(S), 5 HORA(S), 25 MINUTO(S)";"0 DIA(S), 0 HORA(S), 53 MINUTO(S)";"0 DIA(S), 0 HORA(S), 7 MINUTO(S)"
168256;1102800;3;Instrumento Jurídico;"005502/2026";"005135/2026";"1261004885/2026";"9519621";1261;SEE;ACAIACA;"05527283000148";ASSOCIACAO REGIONAL ESCOLA FAMILIA AGRICOLA PAULO FREIRE;Regular;TIMESTAMP '2026-08-13 00:00:00.000000';TIMESTAMP '2026-08-13 00:00:00.000000';TIMESTAMP '2031-08-12 00:00:00.000000';1114909.88;0;15;VIGENTE;0;0;"7 DIA(S), 0 HORA(S), 22 MINUTO(S)";"0 DIA(S), 0 HORA(S), 9 MINUTO(S)";"0 DIA(S), 0 HORA(S), 18 MINUTO(S)"
168257;1102820;3;Instrumento Jurídico;"006181/2026";"005060/2026";"1261004886/2026";"9519622";1261;SEE;SIMONESIA;"09604761000127";ASSOCIACAO REGIONAL ESCOLA FAMILIA AGRICOLA MARGARIDA ALVES;Regular;TIMESTAMP '2026-08-13 00:00:00.000000';TIMESTAMP '2026-08-13 00:00:00.000000';TIMESTAMP '2031-08-12 00:00:00.000000';1044658.98;0;15;VIGENTE;0;0;"20 DIA(S), 14 HORA(S), 25 MINUTO(S)";;"0 DIA(S), 0 HORA(S), 0 MINUTO(S)"
168222;1102628;3;Instrumento Jurídico;"005740/2026";"004339/2026";"1261004884/2026";"9519419";1261;SEE;ARAPONGA;"01529208000165";ASSOCIACAO ESCOLA FAMILIA AGRICOLA - PURIS DE ARAPONGA - MG;Regular;TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2031-08-10 00:00:00.000000';1153477.63;0;15;VIGENTE;0;0;"5 DIA(S), 5 HORA(S), 37 MINUTO(S)";;"0 DIA(S), 3 HORA(S), 59 MINUTO(S)"
168223;1102629;3;Instrumento Jurídico;"005655/2026";"005137/2026";"1261004887/2026";"9519420";1261;SEE;VEREDINHA;"05743998000138";ASSOCIACAO COMUNITARIA DE DESENVOLVIMENTO EDUCACIONAL FAMILIAR E AGROPECUARIO DE VEREDINHA;Regular;TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2031-08-10 00:00:00.000000';1893444.41;0;15;VIGENTE;0;0;"16 DIA(S), 22 HORA(S), 41 MINUTO(S)";;"0 DIA(S), 15 HORA(S), 15 MINUTO(S)"
168221;1102647;3;Instrumento Jurídico;"001900/2026";"002452/2026";"1261004883/2026";"9519418";1261;SEE;CRUZILIA;"05586859000148";ASSOCIACAO ESCOLA FAMILIA AGRICOLA DE CRUZILIA - AEFAC;Regular;TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2031-08-10 00:00:00.000000';3467059.15;0;15;VIGENTE;0;0;"4 DIA(S), 5 HORA(S), 17 MINUTO(S)";"0 DIA(S), 0 HORA(S), 1 MINUTO(S)";"0 DIA(S), 0 HORA(S), 8 MINUTO(S)"
168224;1102630;3;Instrumento Jurídico;"001833/2026";"005136/2026";"1261004889/2026";"9519421";1261;SEE;VIRGEM DA LAPA;"22695209000150";MOV PRO ESCOLA FAMILIA AGRICOLA NO V DO JEQUITINHONHA;Regular;TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2026-08-11 00:00:00.000000';TIMESTAMP '2031-08-10 00:00:00.000000';990720.34;0;15;VIGENTE;0;0;"15 DIA(S), 22 HORA(S), 58 MINUTO(S)";;"0 DIA(S), 0 HORA(S), 0 MINUTO(S)"
168217;1102627;3;Instrumento Jurídico;"006496/2026";"005077/2026";"2371004882/2026";"9519408";2371;IMA;VICOSA;"25944455000196";UNIVERSIDADE FEDERAL DE VICOSA;Regular;TIMESTAMP '2026-08-10 00:00:00.000000';TIMESTAMP '2026-08-10 00:00:00.000000';TIMESTAMP '2029-08-08 00:00:00.000000';3080480;0;15;VIGENTE;0;0;"0 DIA(S), 21 HORA(S), 18 MINUTO(S)";"0 DIA(S), 0 HORA(S), 21 MINUTO(S)";"2 DIA(S), 20 HORA(S), 47 MINUTO(S)"
168151;1102593;3;Instrumento Jurídico;"005764/2026";"005059/2026";"1261004881/2026";"9519258";1261;SEE;ITINGA;"00853943000167";ASSOCIACAO DA ESCOLA FAMILIA AGRICOLA DO JACARE AEFA;Regular;TIMESTAMP '2026-08-01 00:00:00.000000';TIMESTAMP '2026-08-01 00:00:00.000000';TIMESTAMP '2031-07-31 00:00:00.000000';939050.81;0;15;VIGENTE;0;939050.81;"2 DIA(S), 5 HORA(S), 35 MINUTO(S)";"0 DIA(S), 0 HORA(S), 0 MINUTO(S)";"0 DIA(S), 0 HORA(S), 7 MINUTO(S)"
168146;1102588;3;Instrumento Jurídico;"001747/2026";"003093/2026";"1261004876/2026";"9519253";1261;SEE;ITAIPE;"11562703000120";ASSOCIACAO DA ESCOLA FAMILIA AGRICOLA DE CARAI, CATUJI, ITAIPE E LADAINHA;Regular;TIMESTAMP '2026-08-01 00:00:00.000000';TIMESTAMP '2026-08-01 00:00:00.000000';TIMESTAMP '2031-07-31 00:00:00.000000';1632279.66;0;15;VIGENTE;0;1632279.66;"14 DIA(S), 21 HORA(S), 41 MINUTO(S)";"0 DIA(S), 0 HORA(S), 0 MINUTO(S)";"0 DIA(S), 1 HORA(S), 19 MINUTO(S)"
